role,age,mainGroup,code,medianPay,percent10,percent20,percent25,percent30,percent40,percent60,percent70,percent75,percent80,percent90
Sales occupations,30-39,,71,8.93,7.57,7.81,7.94,8.14,8.50,9.64,10.34,11.04,11.99,x
Customer service occupations,30-39,,72,11.35,8.23,9.03,9.33,9.68,10.31,12.24,13.42,14.26,15.24,x
"Process, plant and machine operatives",30-39,TRUE,8,8.82,7.50,7.80,7.97,8.18,8.44,9.56,10.19,10.97,11.32,x
"Process, plant and machine operatives",30-39,,81,8.70,7.50,7.70,7.88,8.04,8.25,9.02,9.94,10.35,11.10,x
Transport and mobile machine drivers and operatives,30-39,,82,10.00,x,x,8.52,8.92,9.50,x,x,x,x,x
Elementary occupations,30-39,TRUE,9,8.36,7.50,7.50,7.60,7.72,8.02,8.79,9.40,9.74,10.30,12.06
Elementary trades and related occupations,30-39,,91,8.18,x,7.50,7.50,7.56,7.89,8.45,8.57,8.77,9.40,x
Elementary administration and service occupations,30-39,,92,8.45,7.50,7.51,7.62,7.76,8.05,8.88,9.55,9.99,10.52,12.59
"Managers, directors and senior officials",40-49,TRUE,1,21.65,10.33,13.99,15.21,16.53,19.03,24.64,28.73,31.27,34.06,45.06
Corporate managers and directors,40-49,,11,24.19,10.87,15.29,16.97,18.37,20.84,27.47,31.35,33.84,36.78,46.45
Other managers and proprietors,40-49,,12,15.79,9.27,11.28,12.17,13.01,14.31,17.48,19.34,20.94,21.81,x
Professional occupations,40-49,TRUE,2,20.53,13.49,15.66,16.62,17.49,19.00,22.27,24.19,25.29,27.03,32.30
"Science, research, engineering and technology professionals",40-49,,21,21.00,12.93,15.96,17.20,18.01,19.37,23.02,25.08,26.04,28.07,x
Health professionals,40-49,,22,18.36,13.36,14.94,15.50,16.12,17.43,19.54,21.16,21.98,23.11,31.98
Teaching and educational professionals,40-49,,23,22.62,13.84,17.38,18.95,19.58,21.63,24.31,26.03,26.86,28.09,31.73
"Business, media and public service professionals",40-49,,24,20.94,13.73,16.36,17.25,17.87,19.22,22.61,24.61,26.17,28.73,34.20
Associate professional and technical occupations,40-49,TRUE,3,16.04,10.50,12.08,12.86,13.34,14.60,17.88,19.17,20.26,21.45,26.63
"Science, engineering and technology associate professionals",40-49,,31,13.62,8.93,10.02,10.50,11.34,12.55,15.20,16.71,17.67,18.44,x
Health and social care associate professionals,40-49,,32,13.44,9.71,10.95,11.42,11.82,12.93,14.18,15.00,15.59,16.29,x
Protective service occupations,40-49,,33,18.73,13.86,15.90,16.91,18.07,18.25,19.15,19.74,20.34,20.61,x
"Culture, media and sports occupations",40-49,,34,13.43,x,11.38,12.05,12.27,13.15,15.51,x,x,x,x
